Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LogOff,Chrome 79.0.3945.79,,,2019-12-12 17:40:50,2019-12-12 17:42:19,"1m - 28,933s",INCOMPLETE
,,,,,,,
Test Cases/TC_LogOff,Chrome 79.0.3945.79,,,2019-12-12 17:40:50,2019-12-12 17:41:13,"22,492s",PASSED
openBrowser(URL),Chrome 79.0.3945.79,,,2019-12-12 17:40:50,2019-12-12 17:41:09,"18,665s",PASSED
"setText(findTestObject(""Login/inputUserName""), userName)",Chrome 79.0.3945.79,,,2019-12-12 17:41:09,2019-12-12 17:41:10,"0,829s",PASSED
"setText(findTestObject(""Login/inputPassword""), password)",Chrome 79.0.3945.79,,,2019-12-12 17:41:10,2019-12-12 17:41:10,"0,162s",PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 79.0.3945.79,,,2019-12-12 17:41:10,2019-12-12 17:41:10,"0,175s",PASSED
"verifyElementPresent(findTestObject(""Login/alert""), 5, STOP_ON_FAILURE)",Chrome 79.0.3945.79,,,2019-12-12 17:41:10,2019-12-12 17:41:12,"1,723s",PASSED
closeBrowser(),Chrome 79.0.3945.79,,,2019-12-12 17:41:12,2019-12-12 17:41:13,"0,701s",PASSED
,,,,,,,
Test Cases/TC_LogOff,Chrome 79.0.3945.79,,,2019-12-12 17:41:13,2019-12-12 17:41:36,"23,559s",FAILED
openBrowser(URL),Chrome 79.0.3945.79,,,2019-12-12 17:41:13,2019-12-12 17:41:29,"16,203s",PASSED
"setText(findTestObject(""Login/inputUserName""), userName)",Chrome 79.0.3945.79,,,2019-12-12 17:41:29,2019-12-12 17:41:30,"1,228s",PASSED
"setText(findTestObject(""Login/inputPassword""), password)",Chrome 79.0.3945.79,,,2019-12-12 17:41:30,2019-12-12 17:41:30,"0,153s",PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 79.0.3945.79,,,2019-12-12 17:41:30,2019-12-12 17:41:30,"0,118s",PASSED
"verifyElementPresent(findTestObject(""Login/alert""), 5, STOP_ON_FAILURE)",Chrome 79.0.3945.79,,,2019-12-12 17:41:30,2019-12-12 17:41:36,"5,844s",FAILED
,,,,,,,
Test Cases/TC_LogOff,Chrome 79.0.3945.79,,,2019-12-12 17:41:36,2019-12-12 17:41:59,"23,174s",PASSED
openBrowser(URL),Chrome 79.0.3945.79,,,2019-12-12 17:41:36,2019-12-12 17:41:56,"19,961s",PASSED
"setText(findTestObject(""Login/inputUserName""), userName)",Chrome 79.0.3945.79,,,2019-12-12 17:41:56,2019-12-12 17:41:57,"1,206s",PASSED
"setText(findTestObject(""Login/inputPassword""), password)",Chrome 79.0.3945.79,,,2019-12-12 17:41:57,2019-12-12 17:41:58,"0,133s",PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 79.0.3945.79,,,2019-12-12 17:41:58,2019-12-12 17:41:58,"0,103s",PASSED
"verifyElementPresent(findTestObject(""Login/alert""), 5, STOP_ON_FAILURE)",Chrome 79.0.3945.79,,,2019-12-12 17:41:58,2019-12-12 17:41:59,"1,065s",PASSED
closeBrowser(),Chrome 79.0.3945.79,,,2019-12-12 17:41:59,2019-12-12 17:41:59,"0,697s",PASSED
,,,,,,,
Test Cases/TC_LogOff,Chrome 79.0.3945.79,,,2019-12-12 17:41:59,2019-12-12 17:42:19,"19,495s",PASSED
openBrowser(URL),Chrome 79.0.3945.79,,,2019-12-12 17:41:59,2019-12-12 17:42:16,"16,211s",PASSED
"setText(findTestObject(""Login/inputUserName""), userName)",Chrome 79.0.3945.79,,,2019-12-12 17:42:16,2019-12-12 17:42:17,"1,227s",PASSED
"setText(findTestObject(""Login/inputPassword""), password)",Chrome 79.0.3945.79,,,2019-12-12 17:42:17,2019-12-12 17:42:17,"0,174s",PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 79.0.3945.79,,,2019-12-12 17:42:17,2019-12-12 17:42:17,"0,135s",PASSED
"verifyElementPresent(findTestObject(""Login/alert""), 5, STOP_ON_FAILURE)",Chrome 79.0.3945.79,,,2019-12-12 17:42:17,2019-12-12 17:42:18,"1,068s",PASSED
closeBrowser(),Chrome 79.0.3945.79,,,2019-12-12 17:42:18,2019-12-12 17:42:19,"0,673s",PASSED
